Adduct,AllGroups,Analog:Adduct,Analog:Compound_Name,Analog:Compound_Source,Analog:Data_Collector,Analog:GNPSLibraryURL,Analog:IIN Best Ion=Library Adduct,Analog:INCHI,Analog:Instrument,Analog:Ion_Source,Analog:IonMode,Analog:Library_Class,Analog:MassDiff,Analog:MQScore,Analog:MZErrorPPM,Analog:PI,Analog:SharedPeaks,Analog:Smiles,Analog:SpectrumID,Analog:tags,Annotated Adduct Features ID,ATTRIBUTE_control,ATTRIBUTE_culture,ATTRIBUTE_media,ATTRIBUTE_number,ATTRIBUTE_sample,Best Ion,charge,ClassyFire#all classifications,ClassyFire#class,ClassyFire#class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#superclass,ClassyFire#superclass probability,cluster index,componentindex,Compound_Name,Compound_Source,Correlated Features Group ID,Data_Collector,DefaultGroups,featureId,G1,G2,G3,G4,G5,G6,GNPSGROUP:1,GNPSGROUP:1910,GNPSGROUP:19197,GNPSGROUP:2,GNPSGROUP:3,GNPSGROUP:7806,GNPSGROUP:A,GNPSGROUP:blank,GNPSGROUP:control,GNPSGROUP:N,GNPSGROUP:spentmedia,GNPSGROUP:U,GNPSLibraryURL,GNPSLinkout_Cluster,GNPSLinkout_Network,id,IIN Best Ion=Library Adduct,INCHI,Instrument,Ion_Source,IonMode,LE-197_1-U2,LE19-10_1-A1,LE19-10_1-A2,LE19-10_1-A3,LE19-10_1-N1,LE19-10_1-N2,LE19-10_1-N3,LE19-10_1-U1,LE19-10_1-U2,LE19-10_1-U3,LE19-197_1-A1,LE19-197_1-A2,LE19-197_1-A3,LE19-197_1-N1,LE19-197_1-N2,LE19-197_1-N3,LE19-197_1-U1,LE19-197_1-U3,Library_Class,MassDiff,molecularFormula,MQScore,MZErrorPPM,name,neutral M mass,NODE_TYPE,NPC#class,NPC#class Probability,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,number of spectra,p,p-corrected,parent mass,PCC-7806-A1,PCC-7806-N1,PCC-7806-U1,PCC7806-A2,PCC7806-A3,PCC7806-N2,PCC7806-N3,PCC7806-U2,PCC7806-U3,PI,precursor mass,precursorFormula,RTConsensus,RTMean,selected,shared name,SharedPeaks,significant,Smiles,SpectrumID,statistic,stats_significant,sum(precursor intensity),tags,Total peak area,UniqueFileSources
[M + H]+,N/A,,,,,,,,,,,,,,,,,,,,,spentmedia,"7806,19197,1910","N,U,A","2,1,3",spentmedia,,0,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Oxazinanes; Phenols; Resorcinols; Phenylmethylamines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Morpholines; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acids; Benzenediols; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Benzylamines; Aralkylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",Carboxylic acids and derivatives,0.8259972929954530,Amino acids and derivatives,0.9193455576896670,Amino acids,0.8893222808837890,"Amino acids, peptides, and analogues",0.9206952452659610,Organic acids and derivatives,0.9065382480621340,299,-1,,,,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,137685.82924444400,94812.63906666670,245554.30211111100,144545.13717777800,83624.50595555560,25488.5312,102215.02680000000,0.0,0.0,13315.926440000000,115533.30706666700,213738.9719,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""299"",""main.cluster index_upperinput"":""299""}",This Node is a Singleton,239_testrun_sirius_299,,,,,,3.42455367059629,-0.0880331928213463,0.345520126236663,0.350774346153382,-0.703194542437112,-0.78835864816612,-0.757287114889694,0.586356028456564,0.337256427686372,-0.307198950270601,1.32480311909373,0.768559147035368,0.281922270380938,-0.389368729871207,-0.672104342800835,-0.770624003458067,2.00635075530443,1.00687952067461,,,C11H15NO4,,,299,0.0,Feature Node,Simple phenolic acids,0.35674843192100500,Alkaloids,0.797836422920227,Lysine alkaloids,0.5530100464820860,26,7.4055337E-04,0.2554909122409300,226.1072,-0.55283375079882,-0.828746564713995,-0.61024160934622,-0.620188419997625,-0.73577241597344,-0.83123286100162,-0.818484461305693,-0.419200025475933,-0.540105778290014,,226.1072,C11H15NO4,2.5903,2.5903,FALSE,299,,FALSE,,,14.416225,,3292699.2514000000,,365855,N/A
[M + H3N + H]+,N/A,,,,,,,,,,,,,,,,,,,,,spentmedia,1910,N,"2,1,3",spentmedia,,0,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Piperazines; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Imidazolidinones; Imidazolidinediones; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Hydantoins; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",Carboxylic acids and derivatives,0.9993681311607360,Amino acids and derivatives,0.9496949315071110,Alpha amino acids and derivatives,0.8553105592727660,"Amino acids, peptides, and analogues",0.9498029947280880,Organic acids and derivatives,0.9999679327011110,717,32,,,,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,134276.2888888890,314988.58444444400,0.0,45669.39555555560,135042.90000000000,0.0,0.0,0.0,0.0,283489.726,99470.07929824560,0.0,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""717"",""main.cluster index_upperinput"":""717""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=32&task=36567cda770c411aa0815b3fa7203a3e&show=true,557_testrun_sirius_717,,,,,,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,3.77604865358297,0.897080682457173,3.07200873370515,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,,,C19H33N3O3,,,717,0.0,Feature Node,Quinolizidine alkaloids,0.7365635633468630,Terpenoids,0.7579334378242490,Lysine alkaloids,0.9119212031364440,3,0.91718495,1.0,369.2857,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,-0.322714086239387,,369.2857,C19H36N4O3,13.1191,13.1191,FALSE,717,,FALSE,,,0.17289229,,2834897.2600000000,,314988,N/A
[M + H3N + H]+,N/A,,,,,,,,,,,,,,,,,,,,,spentmedia,"7806,19197,1910","N,U,A","2,1,3",spentmedia,,0,Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Ethers; Organonitrogen compounds; Organooxygen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,Organooxygen compounds,0.9998186230659490,Alkyl aryl ethers,0.6619359254837040,Alkyl aryl ethers,0.6619359254837040,Ethers,0.7401987910270690,Organic oxygen compounds,0.9999970197677610,414,43,,,31.0,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,60111.017822222200,64522.58216666670,49744.51015111110,136055.29008555600,71493.05141555560,153392.26700555600,3655.178427,0.0,0.0,236228.35950000000,84524.00820736840,1009.885464,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""414"",""main.cluster index_upperinput"":""414""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=43&task=36567cda770c411aa0815b3fa7203a3e&show=true,350_testrun_sirius_414,,,,,,-0.581640795258989,-0.402239140343934,-0.423137897365416,-0.494815644150776,2.05082910787122,0.395978139240628,0.225246849814185,-0.577072783272452,-0.561738792277683,-0.534556321761624,-0.5693732645569,-0.582667750583192,-0.581830074472754,1.00293503763976,0.963760958990665,0.270587074165053,-0.586180274347145,-0.58580496654709,,,C8H10N2O,,,414,0.0,Feature Node,Pyridine alkaloids,0.37230077385902400,Alkaloids,0.9759042859077450,Tryptophan alkaloids,0.3922685384750370,22,1.2920056E-04,0.04457419381651560,168.113,-0.588859587559993,0.0727582263699277,-0.588859587559993,-0.583840959391022,-0.588859587559993,3.58954442951488,1.43755677852263,-0.588859587559993,-0.588859587559993,,168.113,C8H13N3O,5.8634,5.8634,FALSE,414,,TRUE,,,17.908289,,2408934.2339100000,,267659,N/A
[M + H]+,N/A,,,,,,,,,,,,,,,,,,,,,spentmedia,7806,"U,A","2,1,3",spentmedia,,0,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",Carboxylic acids and derivatives,0.999958872795105,Amino acids and derivatives,0.986624002456665,Alpha amino acid esters,0.8656495213508610,"Amino acids, peptides, and analogues",0.9855850338935850,Organic acids and derivatives,0.9999822378158570,560,-1,,,,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,82054.4488888889,0.0,0.0,219882.77777777800,49936.748888888900,351873.97555555600,175890.698,0.0,0.0,0.0,111118.09754386000,140795.88,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""560"",""main.cluster index_upperinput"":""560""}",This Node is a Singleton,449_testrun_sirius_560,,,,,,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,-0.420861121292663,,,C11H19NO5,,,560,0.0,Feature Node,Dipeptides,0.37699460983276400,Fatty acids,0.4567164480686190,Small peptides,0.30104783177375800,6,0.5234748,1.0,246.1334,2.30289144556459,-0.420861121292663,0.075048790061014,3.65918268200062,0.131903567759739,-0.420861121292663,-0.420861121292663,2.04251993846181,0.626537123298137,,246.1334,C11H19NO5,9.1088,9.1088,FALSE,560,,FALSE,,,1.2945327,,3166865.78,,351873,N/A
[M - H2O + H]+,N/A,,,,,,,,,,,,,,,,,,,,,spentmedia,"7806,19197,1910","N,U,A","2,1,3",spentmedia,,0,"Organic compounds; Organonitrogen compounds; Organooxygen compounds; Quaternary ammonium salts; 1,2-aminoalcohols; Amines; Alkanolamines; Organic cations; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",Organonitrogen compounds,0.9999619722366330,Tetraalkylammonium salts,0.8668076992034910,Tetraalkylammonium salts,0.8668076992034910,Quaternary ammonium salts,0.9468485116958620,Organic nitrogen compounds,1.0,455,-1,,,,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,267859.5475555560,471267.0765222220,2331.0,326164.3689666670,350066.6186666670,470492.45866666700,34093.08167,0.0,0.0,667596.54,298133.85321754400,147991.86000000000,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""455"",""main.cluster index_upperinput"":""455""}",This Node is a Singleton,387_testrun_sirius_455,,,,,,-0.668838970880796,-0.668838970880796,-0.642183484953808,-0.534912629229199,2.5325263178328,2.79765314480052,1.93909073767667,-0.587346128177535,-0.668838970880796,-0.468546890289482,-0.668838970880796,-0.668838970880796,-0.668838970880796,-0.576215113711657,-0.668838970880796,-0.668838970880796,-0.668838970880796,-0.668838970880796,,,C8H20N2O2,,,455,0.0,Feature Node,Polyamines,0.6008296012878420,Alkaloids,0.45847585797309900,Ornithine alkaloids,0.4751001000404360,17,0.11305349,1.0,159.1491,-0.138875941005303,0.333359851788935,0.0902605560147886,-0.50515847056693,-0.306367711324041,0.232141296699222,1.24265044807143,0.75323251687749,0.527081208304061,,159.1491,C8H18N2O,7.5631,7.5631,FALSE,455,,FALSE,,,4.3597884,,8496814.816700000,,944090,N/A
[M + H3N + H]+,N/A,,,,,,,,,,,,,,,,,,,,,spentmedia,"7806,19197,1910","N,U,A","2,1,3",spentmedia,,0,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Nitriles; Azoles; Purinones; Diazines; Imidazopyrimidines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,Imidazopyrimidines,0.8861229419708250,Purinones,0.7365187406539920,Purinones,0.7365187406539920,Purines and purine derivatives,0.592634916305542,Organoheterocyclic compounds,0.9999617338180540,343,-1,,,,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,702252.8311111110,1491706.0433333300,514351.95666666700,735701.9155555560,788836.0784444450,220732.8251111110,693694.7866,0.0,0.0,396173.848,703197.1026666670,914243.108,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""343"",""main.cluster index_upperinput"":""343""}",This Node is a Singleton,281_testrun_sirius_343,,,,,,-0.50182256454902,1.64893834151157,1.59470000374783,1.06908832982768,-0.475007764178631,-0.644563574520389,-0.311630848539873,2.03312470591785,2.41935944831386,1.88119418451786,-0.419200925061794,-0.255104001181416,0.467813247213598,-0.248087438420066,-0.388823107547983,-0.310921120844786,-0.658723457903503,-0.554064834996383,,,C6H2N4O2,,,343,0.0,Feature Node,pteridine alkaloids,0.5900287628173830,Alkaloids,0.9984365105628970,Pseudoalkaloids,0.7659582495689390,27,0.77026325,1.0,180.0515,-0.489640613084599,-0.812605221978633,-0.730570741570248,-0.599778191961136,-0.819396876384697,-0.773671833216349,-0.756994391300407,-0.643603036247882,-0.720007717562436,,180.0515,C6H5N5O2,3.2442,3.2442,FALSE,343,,FALSE,,,0.52204585,,2.0041117426E+07,,2226790,N/A
[M + H]+,N/A,,,,,,,,,,,,,,,,,,,,,"control,spentmedia","control,7806,19197,1910","N,U,A","control,2,1,3",spentmedia,,0,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Monoalkylamines; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Polyols; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 1,2-diols; Tetrahydrofurans; 6-aminopurines; Sulfenyl compounds; Dialkylthioethers; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 5'-deoxyribonucleosides; 5'-deoxy-5'-thionucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",5'-deoxyribonucleosides,1.0,,,5'-deoxy-5'-thionucleosides,0.9997993111610410,5'-deoxy-5'-thionucleosides,0.9997993111610410,"Nucleosides, nucleotides, and analogues",0.9987552165985110,330,-1,,,47.0,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,337730.3722222220,596423.0611111110,181596.60755555600,368143.70355555600,363549.71466666700,291404.1217777780,392483.4828,0.0,1352.86325,435218.683,337807.7137017540,135320.3909,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""330"",""main.cluster index_upperinput"":""330""}",This Node is a Singleton,268_testrun_sirius_330,,,,,,-0.456702946862277,3.31638238794674,2.72559723393665,1.6713147719928,0.209142894009765,-0.363007234086614,0.373178887659399,-0.325284383082967,-0.147064921810431,-0.00218354652303261,-0.776805158121273,-0.776280804404713,-0.722868110996818,0.0564065778397495,0.31712898651224,-0.443923523077899,-0.899131916988499,-0.560279998567275,,,C12H20N6O4S,,,330,0.0,Feature Node,Purine nucleos(t)ides,0.9893033504486080,Carbohydrates,0.980126678943634,Nucleosides,0.9748484492301940,27,0.020216936,1.0,345.1335,-0.125537753666544,0.0241331776245869,-0.807227211272876,-0.220504086888703,-0.131340404213238,-0.202317525906215,-0.211668017103753,-0.747127600288433,-0.774029773660371,,345.1335,C12H20N6O4S,2.9429,2.9429,FALSE,330,,FALSE,,,7.8024693,,9630225.567000000,,1069423,N/A
[M + H]+,N/A,,,,,,,,,,,,,,,,,,,,,"control,spentmedia","control,7806,19197,1910,blank","blank,N,U,A","control,2,1,3,blank","blank,spentmedia",,0,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Hydropyrimidines; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,Diazines,0.9983612895011900,Aminopyrimidines and derivatives,0.9710639715194700,Aminopyrimidines and derivatives,0.9710639715194700,Pyrimidines and pyrimidine derivatives,0.993158757686615,Organoheterocyclic compounds,0.9996176958084110,355,-1,,,,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,371955.5218822220,2789.0830755555600,979486.4863888890,286605.9497377780,328384.84442222200,4670.746577777780,579839.851309,685.5670733333330,706.7855483333330,4152.886891,311704.8291908770,304473.10375,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""355"",""main.cluster index_upperinput"":""355""}",This Node is a Singleton,293_testrun_sirius_355,,,,,,0.92766585685848,-0.466224217417551,-0.464234871589605,-0.465728874579269,-0.466200270640588,-0.466968430555379,-0.466607880557328,-0.459630362864618,-0.460413476454908,-0.458307392096698,2.955982732562,1.76753140744612,3.03195028119041,-0.464672515420853,-0.46616757097495,-0.462699270058932,0.594635299490835,0.462131176239508,,,C4H5N3O,,,355,0.0,Feature Node,Imidazole alkaloids,0.4384847581386570,Alkaloids,0.995564341545105,Pseudoalkaloids,0.5632742047309880,33,0.2257028,1.0,112.0508,-0.465758457322412,-0.464434531195808,-0.465320798313664,-0.464660061620386,-0.463473172435463,-0.459290358859959,-0.459697861090627,-0.46409458511587,-0.465311794622482,,112.0508,C4H5N3O,3.37,3.37,FALSE,355,,FALSE,,,2.9770722,,8886715.12072,,986946,N/A
[M - H2O + H]+,N/A,,,,,,,,,,,,,,,,,,,,,spentmedia,"7806,19197,1910","N,U,A","2,1,3",spentmedia,,0,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",Carboxylic acids and derivatives,0.9990952014923100,Amino acids and derivatives,0.8688183426857000,Alpha amino acids,0.7497486472129820,"Amino acids, peptides, and analogues",0.8591784834861760,Organic acids and derivatives,0.9999912977218630,759,39,,,,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,94778.17647777780,127037.3792,1432.6272777777800,101279.55355555600,124657.69422222200,192245.4177777780,8870.81785,0.0,0.0,245159.14155,101278.55502807000,34613.92243,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""759"",""main.cluster index_upperinput"":""759""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=39&task=36567cda770c411aa0815b3fa7203a3e&show=true,596_testrun_sirius_759,,,,,,-0.693751253549615,-0.656752274460299,-0.583785916353727,-0.693751253549615,2.29220576352933,1.49527101089719,2.36788195791068,-0.645500957764667,-0.562387595872358,-0.677798350425819,-0.693751253549615,-0.693751253549615,-0.693751253549615,-0.507032807066714,-0.693751253549615,-0.693751253549615,-0.693751253549615,-0.693751253549615,,,C10H22N2O4,,,759,0.0,Feature Node,Aminoacids,0.8303074836730960,Amino acids and Peptides,0.9515833854675290,Small peptides,0.9553805589675900,18,0.022592813,1.0,217.1546,-0.438233677231443,1.06175942102407,0.154581606708944,-0.400477848861181,-0.347188662639917,1.28143413026119,1.9984051246981,0.153784962464175,0.257595395128979,,217.1546,C10H20N2O3,15.3053,15.3053,FALSE,759,,FALSE,,,7.580247,,2886438.8183,,320715,N/A
[M - H2O + H]+,N/A,,,,,,,,,,,,,,,,,,,,,"control,spentmedia","control,7806,19197,1910","N,U,A","control,2,1,3",spentmedia,,0,Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Amines; Alkanolamines; Cyclohexanols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,Organooxygen compounds,0.9999996423721310,Secondary alcohols,0.5713388323783880,Cyclohexanols,0.9634586572647100,Alcohols and polyols,0.9698520302772520,Organic oxygen compounds,1.0,139,-1,,,52.0,,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,51681.89628888890,20951.996444444400,95502.37481111110,52211.6219,48495.83347777780,35934.980411111100,9050.291860000000,0.0,2841.5573250000000,127346.63593,48322.36068947370,1890.11164,,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=36567cda770c411aa0815b3fa7203a3e&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""139"",""main.cluster index_upperinput"":""139""}",This Node is a Singleton,97_testrun_sirius_139,,,,,,-0.503251645201347,-0.480803731524389,-0.526082224071317,-0.547664656907915,0.195000879231621,-0.111661762514133,0.149335573720509,-0.547664656907915,-0.547664656907915,-0.547664656907915,0.228172713194181,-0.335867884959846,-0.283723382071131,3.86994206225922,2.29730950986043,1.45394579402225,-0.493210125675605,-0.487224183615103,,,C16H29NO2,,,139,0.0,Feature Node,Quinolizidine alkaloids,0.7927519679069520,Alkaloids,0.8564803004264830,Lysine alkaloids,0.9699054956436160,22,1.70119E-04,0.05869105669262350,250.2163,-0.547664656907915,0.238066081935827,-0.538347069841831,-0.547664656907915,-0.535292344328384,0.19112107681863,0.0538879180237345,-0.547664656907915,-0.547664656907915,,250.2163,C16H27NO,1.5325,1.5325,FALSE,139,,FALSE,,,17.358025,,1382870.3943000000,,152389,N/A
