Metabolite,LE-197_1-U2,LE19-10_1-A1,LE19-10_1-A2,LE19-10_1-A3,LE19-10_1-N1,LE19-10_1-N2,LE19-10_1-N3,LE19-10_1-U1,LE19-10_1-U2,LE19-10_1-U3,LE19-197_1-A1,LE19-197_1-A2,LE19-197_1-A3,LE19-197_1-N1,LE19-197_1-N2,LE19-197_1-N3,LE19-197_1-U1,LE19-197_1-U3,PCC-7806-A1,PCC-7806-N1,PCC-7806-U1,PCC7806-A2,PCC7806-A3,PCC7806-N2,PCC7806-N3,PCC7806-U2,PCC7806-U3
640,569.61194,1678.9543,2865.5925,4067.1506,12343.964,2723.3464,18696.875,1187.9193,7380.4053,10743.104,0,680.2324,802.5268,0,736.6006,4283.14,0,1488.233,611.50867,38280.15,626.4487,823.0111,1080.179,25505.428,17721.996,801.10004,1565.9122
171,257468.28,1662720.2,1612088.9,1911527.5,13133951,5969264.5,10657294,1231436.2,1554520.8,1186287.2,185559.36,120793.41,354405.28,2745006.5,3942234.2,3449234,56765.438,244716.36,223217.94,7052195,51589.33,361430.34,42176.18,14615976,12225394,293586.72,67797.734
786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23427.297,0,0,0,27823.746,37709.504,0,0
819,0,9631.862,12245.496,9615.515,80963.86,46952.77,74021.84,8679.511,10126.293,4683.1025,0,0,1516.8535,994.73584,0,1978.3152,0,673.19556,19403.365,94356.04,55561.805,31697.33,26665.55,103446.63,107771.43,38653.098,52121.51
598,1079.6265,84299.72,51357.18,77662.01,264582.97,96723.63,238668.33,80662.28,56456.55,77141.59,0,0,9882.487,72609.74,41361.484,31347.809,0,0,1154.9413,157753.62,490.6802,0,546.3342,121315.555,116568.57,1047.3181,911.09845
585,1079.6265,90822.234,51357.18,79576.164,229249.08,82975.91,161790.69,85626.1,56456.55,47927.254,0,0,9882.487,72920.5,41361.484,31347.809,0,0,1154.9413,82514.4,490.6802,0,546.3342,68811.664,28779.438,1047.3181,911.09845
740,862.46027,3443.3044,9322.3545,4294.6064,24320.064,5377.8916,20657.646,9233.244,10483.573,9046.271,0,0,9007.946,17528.926,15834.287,19207.074,0,1227.0566,4400.451,76639.52,1939.5383,1022.17,969.4313,49001.586,50531,5670.3677,9330.379
387,840947.75,260593.1,318746.53,257531.12,661374.2,440259.03,796966.6,298612.78,285427.22,245755.27,173250.52,171409.83,191135.89,2155188,303348.47,637135.94,835826.3,655445.25,102928.56,228742.64,299936.44,124117.29,131159.77,277504.4,264497.03,264182.88,242698.52
374,0,0,0,0,250009.47,1136.67,0,0,0,940.7125,0,297.26224,0,19559.303,1507761.6,2132.7493,455.23672,526.1382,0,656.0006,256.19995,0,443.58472,491.61005,2051.0225,0,357.0573
575,0,10011.919,3449.9492,4408.377,102152.84,29472.049,84479.54,10302.149,10240.34,2037.1892,0,0,0,3216.153,0,0,0,0,0,20815.658,0,0,0,11977.725,12811.794,0,0
